,code,logo,ko_name,description,sector,industry,country_code,market,phone,website
36,383220.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/383220.png,F&F,"F&F는 2021년 5월 에프앤에프홀딩스의 인적분할로 설립된 기업으로 패션사업 부문을 주 사업으로 영위하고 있다. 주요 종속기업은 에프앤에프차이나, 에프앤에프 홍콩, 에프엔에프호찌민 등이 있다. 주요 매출은 패션부문의 제품 판매를 통해 발생하고 있다. 국내에서 기획 및 생산된 MLB제품을 홍콩 및 중국 등 아시아 현지에서 판매하며 시장점유율을 확대하고 있다.",생활용품/잡화,의류/패션잡화,KR,kospi,82 5 200 001,https://www.fnf.co.kr
37,007700.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/007700.png,F&F홀딩스,"F&F홀딩스는 1972년 설립된 에프앤에프 그룹의 지주회사이다. 주요 종속기업은 에프앤에프파트너스, F&F BRANDS GROUP INC, 에프앤에프 등이 있다. 주요 매출은 패션 부문에서 발생하고 있으며 물류 부문이 뒤를 잇고 있다. 패션 부문은 상품 판매 전용 상설점 운영, 자체 브랜드 론칭 등 지속 성장을 위한 전략을 적극 펼치고 있다.",생활용품/잡화,의류/패션잡화,KR,kospi,None,https://www.fnf.co.kr
38,114090.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/114090.png,GKL,"GKL은 2005년 9월 설립된 기업으로 외국인을 대상으로 하는 카지노 운영사업을 영위하고 있다. 주요 매출은 카지노 부문에서 발생하고 있다. 당사는 서울과 부산 총 3곳의 외국인전용 카지노를 개장하여 운영중이며 향후 사업확장을 위해 관광숙박업, 국제회의업, 여행업, 골프장 등 체육시설업, 식품접객업, 면세품 판매업과 카지노 부대 또는 관련되는 일체의 사업을 정관에 명시하여 수익원 다각화 방안을 추진하고 있다.",여행/레저,카지노,KR,kospi,82 2 6421 6100,https://www.grandkorea.com
39,078930.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/078930.png,GS,"GS는 2004년 7월 (주)LG를 인적분할하여 설립된 기업으로 지주 사업을 영위하고 있다. 주요 종속기업은 GS에너지(주), (주)GS리테일, (주)지에스글로벌 등과 다수의 종속사를 보유하고 있다. 주요 매출은 종속사를 통한 가스전력사업 부문에서 발생하고 있다. 주요 종속사인 GS에너지를 통해 에너지 패러다임 전환기를 맞아 환경변화에 능동적으로 대응하기 위해 여러 형태의 신재생에너지를 비롯해 다양한 신기술이 접목된 에너지 신사업을 끊임없이 모색하고 있다.",기타,지주회사/복합기업,KR,kospi,82 2 2005 1114,https://www.gs.co.kr
40,006360.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/006360.png,GS건설,"GS건설은 1969년 설립된 기업으로 인프라, 건축, 플랜트, 전력 등 종합건설업을 영위하고 있다. 주요 종속기업은 400 LOGUE OWNER LLC, 디씨브릿지, 자이에스텍, 지베스코 등이 있다. 주요 매출은 건축 사업 부문에서 발생하고 있으며 플랜트, 인프라 사업 부문이 뒤를 잇고 있다. 모듈러 주택 전문회사들을 인수하며 국내를 포함한 아시아와 오세아니아 시장에 진출하며 시장점유율을 확대하고 있다.",건설/인프라,건설,KR,kospi,82 2 2154 1114,https://www.gsenc.com
41,001250.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001250.png,GS글로벌,"GS글로벌은 1954년 금선산업으로 설립된 기업으로 2009년 GS그룹으로 인수된 기업으로 국제무역업을 영위하고 있다. 주요 종속기업은 설비 수주업을 영위하는 지에스엔텍, 물류 사업을 영위하는 피엘에스 등이 있다. 주요 매출은 철강 금속제품·석유화학제품 트레이딩 분야에서 발생하고 있으며, 설비 제작, 물류 운송 사업분야가 뒤를 잇고 있다. 성장동력 확보를 위해 해외 EV제조사와 전략적 제휴를 확대하고 있으며, 태양광 개발 프로젝트, 헬스케어 등 4차 산업과 관련된 벤처기업에 투자를 진행하고 있다.",기타,무역상사,KR,kospi,82 2 2005 5300,https://www.gsgcorp.com
42,007070.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/007070.png,GS리테일,"GS리테일은 1971년 설립된 기업으로 편의점 및 수퍼마켓 등 소매유통업을 영위하고 있다. 주요 종속기업은 지에스넷비전, 지에스텔레서비스, 지에스파크이십사 등이 있다. 주요 매출은 편의점 운영 수익에서 발생하고 있으며, 수퍼마켓 운영, 홈쇼핑 수익 등이 뒤를 잇고 있다. 효율적인 사업 운영을 위해 씨브이에스넷과의 합병을 통해 물류센터 운영체계 고도화를 실현하였다.",소매,편의점/대형마트,KR,kospi,82 2 2006 2050,https://www.gsretail.com
43,078935.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/078935.png,GS우,,,,KR,kospi,82 2 2005 1114,https://www.gs.co.kr
44,012630.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/012630.png,HDC,"HDC는 1977년 설립된 기업으로 지주 사업, 부동산 임대업을 영위하고 있다. 주요 종속기업은 부동산일일사, 에이치디씨스포츠, 에이치디씨신라면세점 등이 있다. 주요 매출은 건설 부문에서 발생하고 있다. IPARK라는 브랜드를 보유하고 있으며, 직접 토지를 매입하여 분양 및 시공하는 고수익형 자체 분양사업에 특화된 경쟁력을 보유하고 있다.",기타,지주회사/복합기업,KR,kospi,None,https://www.hdc-holdings.com
45,039570.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/039570.png,HDC랩스,"HDC랩스는 1999년 9월 설립된 기업으로 홈서비스, 스마트빌딩(IBS), SOC, M&E, 리얼티, 인테리어/조경 등을 주 사업으로 영위하고 있다. 주요 매출은 리얼티 사업 부문에서 발생하고 있다. ""BESTIN""이라는 자체 브랜드를 개발하여 아이파크 아파트에 홈오토, 홈네트워크와 관련된 특화 시스템을 개발 공급하고 있으며 리얼티 사업과 인테리어 조경사업부문의 통합관리 운영으로 시너지 효과를 내고 있다.",건설/인프라,건설,KR,kospi,82 3 1785 1700,https://www.icontrols.co.kr
46,089470.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/089470.png,HDC현대EP,"HDC현대EP는 2000년 1월 설립된 기업으로 플라스틱 소재의 생산 및 공급업, 전기전자산업, 건자재 사업 등을 영위하고 있다. 주요 매출은 복합 PP/PE 제품 판매에서 발생하고 있다. 당사는 국내외 탄소중립, 일회용 플라스틱 규제 등 친환경 정책 기조 강화에 따라, 수소/전기차 등에 적용 가능한 고기능성 폴리머(PPS, ENPLA 등) 소재를 생산하고 있다.",자동차,자동차부품,KR,kospi,82 4 1350 0500,https://www.hdc-hyundaiep.com
47,294870.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/294870.png,HDC현대산업개발,"HDC현대산업개발은 건설 및 부동산 개발운영 등을 영위하고 있는 기업이다. 주요 종속기업은 호텔에이치디씨, 에이치디씨현대피씨이, 빅애플드림제일차 등이 있다. 주요 매출은 외주주택 부문에서 발생하고 있으며 토목, 일반건축, 자체공사가 뒤를 잇고 있다. 환경보호와 에너지 절감에 기여할 수 있는 ""제로 에너지 주택"" 개발을 목표로 다양한 연구 개발을 진행하는 등 그린 하우징을 위한 노력도 이어가고 있다.",건설/인프라,건설,KR,kospi,82 2 2008 9114,https://www.hdc-dvp.com
48,267250.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/267250.png,HD현대,"HD현대는 2017년 4월 설립된 기업으로 지주사업을 영위하고 있다. 주요 종속기업은 한국조선해양㈜, 현대중공업㈜, 현대삼호중공업㈜ 등 다수의 종속사가 있다. 주요 매출은 종속사를 통한 정유 부문에서 발생하고 있다. 당사는 조선사업, 해양플랜트사업, 엔진기계사업, 그린에너지사업 및 선박ㆍ엔진의 A/S사업, 정유사업, 건설기계 제조사업, 전기전자기기 제조사업, 산업용 로봇 제조업 등을 영위하는 자회사의 주식을 소유한 지주회사이다.",기타,지주회사/복합기업,KR,kospi,82 5 3670 7114,https://www.hyundai-holdings.com
49,097230.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/097230.png,HJ중공업,"HJ중공업은 2007년 8월 (주)한진중공업홀딩스에서 분할되어 설립된 기업으로 방산 및 특수선, 신조선 및 기타 분야 등의 조선업과 토목, 건축/주택 ,플랜트 등 건설업을 영위하고 있다. 주요 매출은 건설부문에서 발생하고 있다. 당사의 건축사업은 공항, 철도역사, 터미널과 같은 여객시설, 오피스, 물류시설, 전시 및 관람시설 등에 특화되어 있으며, 주택사업은 아파트 신축 및 국내 주요지역 재건축/재개발 정비사업에 다수 참여를 하고 있다.",건설/인프라,조선,KR,kospi,82 5 1410 3114,https://www.hjsc.co.kr
50,014790.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/014790.png,HL D&I,"HL D&I는 1980년 설립된 기업으로 종합건설업을 영위하고 있다. 주요 종속기업은 HL D&I지엘에스, HL D&I세라지오, HL D&I오엠에스 등이 있다. 주요 매출은 건축 사업 부문에서 발생하고 있으며 토목, 자체분양 부문이 뒤를 잇고 있다. 당사는 인프라사업분야에 있어 항만, 철도, 공항, 고속도로 등의 분야에 높은 경쟁력을 확보하고 있으며, 주택분야에서도 차별화된 교육 특화로 ""HL D&I비발디""라는 고유 브랜드의 가치를 지속적으로 확대하고 있다.",건설/인프라,건설,KR,kospi,82 2 3434 5114,https://www.halla.co.kr
